pred_ID,volume_m3,surface_3D_m2,coverage_percent
1,4265885.743292395,1059596,96.73762452859391
4,19168.63543685024,32011,91.53103620630408
5,10900.58217424725,11352,92.82064834390415
6,6474.134118927651,9003,93.11340664223037
7,8096.152706690292,9956,93.27038971474487
8,3645.430719104789,6840,91.73976608187134
9,6099.85414987599,9394,92.69746646795826
10,8498.203284113215,10850,93.03225806451613
11,7463.703515325799,7396,92.65819361817198
12,14738.702181430208,16772,93.27450512759361
13,3611.8217531573423,7668,89.50182576943139
14,8783.9939575525,10936,93.69970738844185
15,600771.6013800098,413595,83.04815096894305
21,779.7017908504363,3124,89.8527528809219
23,14816.590964031566,27079,81.69799475608404
24,73918.27801823798,63226,96.36700091734413
25,64933.582377723316,45787,95.34802454845261
